DateTime, CaseName, Status, Mode, Number, LoadMult, NumDevices, NumBuses, NumNodes, Iterations, ControlMode, ControlIterations, MostIterationsDone, Year, Hour, MaxPuVoltage, MinPuVoltage, TotalMW, TotalMvar, MWLosses, pctLosses, MvarLosses, Frequency
"10/05/2016 18:17:15", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 18:35:05", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 18:43:44", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 18:45:19", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 18:55:41", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 19:00:40", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 19:02:17", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 19:08:39", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 19:31:10", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 19:31:18", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 19:35:49", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 21:34:59", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 21:45:59", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 22:33:34", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 22:35:42", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 22:39:07", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
"10/05/2016 22:44:46", ieee123, SOLVED, Snap, 100,    1.000, 246, 132, 278, 21, STATIC, 10, 3, 0, 0, 1.046, 0.99066, 3.62765, 1.29349, 0.094859, 2.615, 0.158834, 50
